circular	auto	sex	NCBI	UCSC	Ensembl
FALSE	TRUE	FALSE	NW_020824155.1	picr_952	picr_952
FALSE	TRUE	FALSE	NW_020824156.1	picr_954	picr_954
FALSE	TRUE	FALSE	NW_020824157.1	picr_955	picr_955
FALSE	TRUE	FALSE	NW_020824158.1	picr_956	picr_956
FALSE	TRUE	FALSE	NW_020824159.1	picr_957	picr_957
FALSE	TRUE	FALSE	NW_020824160.1	picr_958	picr_958
FALSE	TRUE	FALSE	NW_020824161.1	picr_959	picr_959
FALSE	TRUE	FALSE	NW_020824162.1	picr_960	picr_960
FALSE	TRUE	FALSE	NW_020824163.1	picr_961	picr_961
FALSE	TRUE	FALSE	NW_020824164.1	picr_962	picr_962
FALSE	TRUE	FALSE	NW_020824165.1	picr_963	picr_963
FALSE	TRUE	FALSE	NW_020824166.1	picr_964	picr_964
FALSE	TRUE	FALSE	NW_020824167.1	picr_965	picr_965
FALSE	TRUE	FALSE	NW_020824168.1	picr_967	picr_967
FALSE	TRUE	FALSE	NW_020824169.1	picr_968	picr_968
FALSE	TRUE	FALSE	NW_020824170.1	picr_969	picr_969
FALSE	TRUE	FALSE	NW_020824171.1	picr_970	picr_970
FALSE	TRUE	FALSE	NW_020824172.1	picr_971	picr_971
FALSE	TRUE	FALSE	NW_020824173.1	picr_972	picr_972
FALSE	TRUE	FALSE	NW_020824174.1	picr_973	picr_973
FALSE	TRUE	FALSE	NW_020824175.1	picr_974	picr_974
FALSE	TRUE	FALSE	NW_020824176.1	picr_975	picr_975
FALSE	TRUE	FALSE	NW_020824177.1	picr_976	picr_976
FALSE	TRUE	FALSE	NW_020824178.1	picr_979	picr_979
FALSE	TRUE	FALSE	NW_020824179.1	picr_981	picr_981
FALSE	TRUE	FALSE	NW_020824180.1	picr_982	picr_982
FALSE	TRUE	FALSE	NW_020824181.1	picr_983	picr_983
FALSE	TRUE	FALSE	NW_020824182.1	picr_986	picr_986
FALSE	TRUE	FALSE	NW_020824183.1	picr_987	picr_987
FALSE	TRUE	FALSE	NW_020824184.1	picr_988	picr_988
FALSE	TRUE	FALSE	NW_020824185.1	picr_989	picr_989
FALSE	TRUE	FALSE	NW_020824186.1	picr_990	picr_990
FALSE	TRUE	FALSE	NW_020824187.1	picr_991	picr_991
FALSE	TRUE	FALSE	NW_020824188.1	picr_992	picr_992
FALSE	TRUE	FALSE	NW_020824189.1	picr_993	picr_993
FALSE	TRUE	FALSE	NW_020824190.1	picr_994	picr_994
FALSE	TRUE	FALSE	NW_020824191.1	picr_995	picr_995
FALSE	TRUE	FALSE	NW_020824192.1	picr_996	picr_996
FALSE	TRUE	FALSE	NW_020824193.1	picr_997	picr_997
FALSE	TRUE	FALSE	NW_020824194.1	picr_998	picr_998
FALSE	TRUE	FALSE	NW_020824195.1	picr_999	picr_999
FALSE	TRUE	FALSE	NW_020823475.1	picr_202	picr_202
FALSE	TRUE	FALSE	NW_020823515.1	picr_247	picr_247
